laptop_name,price,product_code,shop,product_url,cpu,gpu,other,cpu_rating,cpu_name,device_type_cpu,performance_cpu,year_cpu,tdp_cpu,cores,threads,gpu_rating,gpu_name,device_type_gpu,performance_gpu,year_gpu,tdp_gpu,architecture
Lenovo V15 G4 AMN,28599.0,U1123192,brain,https://brain.com.ua/ukr/Noutbuk_Lenovo_V15_G4_AMN_82YU016PRA-p1297326.html,AMD Ryzen 5 7520U,AMD Radeon 610M,"{""Серія (модельний ряд)"": ""Lenovo V"", ""Тип ноутбуку"": ""для навчаннядля роботи"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""матова"", ""Частота оновлення екрану"": ""60 Гц"", ""Яскравість"": ""300nits"", ""Покоління процесора AMD"": ""Zen 2"", ""Процесор"": ""AMD Ryzen 5 7520U (2.8-4.3GHz)"", ""Кількість ядер процесора"": ""4"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""відсутні, розпаяна на МП"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Стандарт інтерфейсу SSD M.2"": ""PCI Express 4.0 x4"", ""Кількість слотів M.2"": ""1"", ""Відеокарта"": ""AMD Radeon 610M Graphics"", ""Веб-камера"": ""HD 720p із конфіденційною шторкою"", ""Аудіосистема"": ""Dolby Audio"", ""Додаткові можливості"": ""стереодинаміки, вбудований мікрофон"", ""Бездротові технології"": ""Bluetooth 5.3Wi-Fi 802.11ax (2x2)"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""LAN (RJ-45)1 x USB 3.2 Gen 1 Type-C2 x USB 3.2 Gen 1HDMIКомбінований аудіороз'єм"", ""Операційна система"": ""DOS"", ""Ємність батареї"": ""3 cell"", ""Ємність акумулятора"": ""47 Втг"", ""Особливості"": ""українська клавіатура"", ""Ширина"": ""359.2 мм"", ""Висота"": ""19.9 мм"", ""Глибина"": ""235.8 мм"", ""Вага"": ""1.63 кг"", ""Колір"": ""чорний"", ""Виробник"": ""Lenovo"", ""Модель"": ""V15 G4 AMN"", ""Артикул"": ""82YU016PRA"", ""Гарантія, міс"": ""36"", ""Штрихкод"": ""199271318348"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 28599.0, ""full_name"": ""Lenovo V15 G4 AMN"", ""product_code"": ""U1123192"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Lenovo_V15_G4_AMN_82YU016PRA-p1297326.html""}",1419.0,AMD Ryzen 5 7520U,notebook,5.14,2022.0,15.0,4.0,8.0,826.0,AMD Radeon 610M,notebook,2.87,2023.0,15.0,RDNA 2.0
Acer Aspire Lite AL15-33P-30XX,23999.0,U1099660,brain,https://brain.com.ua/ukr/Noutbuk_Acer_Aspire_Lite_AL15-33P-30XX_NXD62EU001-p1275768.html,Intel Core 3 N355,Intel Graphics 4 Xe3 Panther Lake iGPU,"{""Серія (модельний ряд)"": ""Acer Aspire"", ""Тип ноутбуку"": ""для роботи"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""матова"", ""Частота оновлення екрану"": ""60 Гц"", ""Покоління процесора Intel"": ""15-е покоління"", ""Процесор"": ""Intel Core 3 N355 (1.9 - 3.9 ГГц)"", ""Кількість ядер процесора"": ""8"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""відсутні, розпаяна на МП"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Кількість слотів M.2"": ""1"", ""Кардрідер"": ""Card-reader"", ""Відеокарта"": ""Intel Graphics"", ""Веб-камера"": ""Full HD, 1080p"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""Wi-Fi 6 (802.11aх)Bluetooth 5.0"", ""Інтерфейси та підключення"": ""1 x USB 3.2 Gen 1 Type-C1 x USB 3.2 Gen 11 х USB 2.0HDMIКомбінований аудіороз'єм"", ""Операційна система"": ""без операційної системи"", ""Ємність батареї"": ""2 cell"", ""Ємність акумулятора"": ""45.6 Втг"", ""Особливості"": ""українська клавіатура"", ""Ширина"": ""357.8 мм"", ""Висота"": ""18 мм"", ""Глибина"": ""235.6 мм"", ""Вага"": ""1.53 кг"", ""Колір"": ""сірий"", ""Виробник"": ""Acer"", ""Модель"": ""Aspire Lite AL15-33P-30XX"", ""Артикул"": ""NX.D62EU.001"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""4711474634528"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 23999.0, ""full_name"": ""Acer Aspire Lite AL15-33P-30XX"", ""product_code"": ""U1099660"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Acer_Aspire_Lite_AL15-33P-30XX_NXD62EU001-p1275768.html""}",1315.0,Intel Core 3 N355,notebook,5.92,2025.0,15.0,8.0,8.0,453.0,Intel Graphics 4 Xe3 Panther Lake iGPU,notebook,11.62,2026.0,,
ASUS Vivobook 16 M1605YA-MB542,29999.0,U0965423,brain,https://brain.com.ua/ukr/Noutbuk_ASUS_Vivobook_16_M1605YA-MB542_90NB10R2-M00V70-p1148516.html,AMD Ryzen 5 7430U,AMD Radeon (Ryzen 7000),"{""Серія (модельний ряд)"": ""ASUS VivoBook"", ""Тип ноутбуку"": ""для роботибізнесдля навчання"", ""Діагональ дисплея"": ""16\"""", ""Роздільна здатність"": ""1920x1200 (WUXGA)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""матова"", ""Частота оновлення екрану"": ""60 Гц"", ""Покоління процесора AMD"": ""Zen 3"", ""Процесор"": ""AMD Ryzen 5 7430U (2.3 - 4.3 ГГц)"", ""Кількість ядер процесора"": ""6"", ""Тип оперативної пам'яті"": ""DDR4"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""1"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Стандарт інтерфейсу SSD M.2"": ""PCI Express 3.0"", ""Відеокарта"": ""AMD Radeon Graphics"", ""Веб-камера"": ""WEB-Camera"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""BluetoothWi-Fi"", ""Інтерфейси та підключення"": ""USB 3.2 Type-C1 х USB 2.02 х USB 3.2Комбінований аудіороз'єм"", ""Операційна система"": ""без операційної системи"", ""Ємність батареї"": ""3 cell"", ""Ємність акумулятора"": ""42 Втг"", ""Особливості"": ""підсвічування клавіатуриTPM модуль"", ""Ширина"": ""358 мм"", ""Висота"": ""19.9 мм"", ""Глибина"": ""249.5 мм"", ""Вага"": ""1.88 кг"", ""Колір"": ""сріблястий"", ""Виробник"": ""ASUS"", ""Модель"": ""Vivobook 16 M1605YA-MB542"", ""Артикул"": ""90NB10R2-M00V70"", ""Гарантія, міс"": ""12"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 29999.0, ""full_name"": ""ASUS Vivobook 16 M1605YA-MB542"", ""product_code"": ""U0965423"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_ASUS_Vivobook_16_M1605YA-MB542_90NB10R2-M00V70-p1148516.html""}",1014.0,AMD Ryzen 5 7430U,notebook,9.01,2023.0,15.0,6.0,12.0,,,,,,,
Vinga Iron S151,27999.0,U1036168,brain,https://brain.com.ua/ukr/Noutbuk_Vinga_Iron_S151_S151-133416512S-p1274127.html,Intel Core i5-1334U,Intel Iris Xe Graphics G7,"{""Серія (модельний ряд)"": ""Vinga Iron"", ""Тип ноутбуку"": ""для навчаннядля роботи"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""матова"", ""Частота оновлення екрану"": ""60 Гц"", ""Яскравість"": ""250nits"", ""Покоління процесора Intel"": ""13-е покоління"", ""Процесор"": ""Intel Core i5-1334U (1.3 - 4.6 ГГц)"", ""Кількість ядер процесора"": ""10"", ""Тип оперативної пам'яті"": ""DDR4"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Кардрідер"": ""Card-reader"", ""Відеокарта"": ""Intel Iris Xe Graphics"", ""Веб-камера"": ""WEB-Camera 2 MP"", ""Додаткові можливості"": ""стереодинаміки, вбудований мікрофон"", ""Бездротові технології"": ""Bluetooth 5.2Wi-Fi 6 (802.11aх)"", ""Мережевий адаптер"": ""LAN (RJ-45)"", ""Інтерфейси та підключення"": ""1 х USB 2.0LAN (RJ-45)1 х USB 3.22 х USB Type-CHDMIКомбінований аудіороз'єм"", ""Операційна система"": ""без операційної системи"", ""Ємність акумулятора"": ""65 Втг"", ""Заявлений час роботи (годин)"": ""10"", ""Особливості"": ""підсвічування клавіатуризарядка від USBсканер відбитків пальцівTPM модуль"", ""Додатково"": ""алюмінієвий корпус"", ""Ширина"": ""355.6 мм"", ""Висота"": ""16.9 мм"", ""Глибина"": ""228.4 мм"", ""Вага"": ""1.57 кг"", ""Колір"": ""сірий"", ""Виробник"": ""Vinga"", ""Модель"": ""Iron S151"", ""Артикул"": ""S151-133416512S"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""4823093319929"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 27999.0, ""full_name"": ""Vinga Iron S151"", ""product_code"": ""U1036168"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Vinga_Iron_S151_S151-133416512S-p1274127.html""}",1161.0,Intel Core i5-1334U,notebook,7.53,2023.0,15.0,10.0,12.0,497.0,Intel Iris Xe Graphics G7,notebook,9.6,2020.0,,Gen. 11 Ice Lake
Dell Alienware 16 Aurora,42999.0,U1110593,brain,https://brain.com.ua/ukr/Noutbuk_Dell_Alienware_16_Aurora_AC16250_RPLH-R_005-p1285792.html,Intel Core 5 210H,NVIDIA GeForce RTX 3050 8 GB,"{""Серія (модельний ряд)"": ""Dell Alienware"", ""Тип ноутбуку"": ""ігровий"", ""Діагональ дисплея"": ""16\"""", ""Роздільна здатність"": ""2560x1600 (WQXGA)"", ""Тип матриці"": ""WVA"", ""Поверхня екрану"": ""глянсова"", ""Частота оновлення екрану"": ""120 Гц"", ""Яскравість"": ""300nits"", ""Покоління процесора Intel"": ""15-е покоління"", ""Процесор"": ""Intel Core 5 210H (2.2 - 4.8 ГГц)"", ""Кількість ядер процесора"": ""8"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""2"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Стандарт інтерфейсу SSD M.2"": ""PCI Express 4.0"", ""Кількість слотів M.2"": ""2"", ""Відеокарта"": ""NVIDIA GeForce RTX 3050"", ""Об'єм відеопам'яті"": ""6 ГБ"", ""Веб-камера"": ""720p HD"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""BluetoothWi-Fi 7 (802.11be)"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""HDMI 2.12 х USB Type-C2 х USB 3.2LAN (RJ-45)Комбінований аудіороз'єм"", ""Операційна система"": ""Windows 11 Home"", ""Ємність батареї"": ""3 cell"", ""Ємність акумулятора"": ""60 Втг"", ""Особливості"": ""підсвічування клавіатури"", ""Ширина"": ""357 мм"", ""Висота"": ""18.6 мм"", ""Глибина"": ""265 мм"", ""Вага"": ""2.49 кг"", ""Колір"": ""чорний"", ""Виробник"": ""Dell"", ""Модель"": ""Alienware 16 Aurora"", ""Артикул"": ""AC16250_RPLH-R_005"", ""Гарантія, міс"": ""12"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 42999.0, ""full_name"": ""Dell Alienware 16 Aurora"", ""product_code"": ""U1110593"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Dell_Alienware_16_Aurora_AC16250_RPLH-R_005-p1285792.html""}",879.0,Intel Core 5 210H,notebook,10.55,2024.0,45.0,8.0,12.0,208.0,NVIDIA GeForce RTX 3050 8 GB,desktop,30.16,2022.0,130.0,Ampere
MSI Modern 15 F13MG-673XRO,32659.0,U1132834,brain,https://brain.com.ua/ukr/Noutbuk_MSI_Modern_15_F13MG-673XRO_9S7-15S12-167316-p1306675.html,Intel Core i5-1334U,Intel Iris Xe Graphics G7,"{""Серія (модельний ряд)"": ""MSI Modern"", ""Тип ноутбуку"": ""для навчаннядля роботи"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""антиблікове покриття"", ""Частота оновлення екрану"": ""60 Гц"", ""Яскравість"": ""250nits"", ""Покоління процесора Intel"": ""13-е покоління"", ""Процесор"": ""Intel Core i5-1334U (1.3 - 4.6 ГГц)"", ""Кількість ядер процесора"": ""10"", ""Тип оперативної пам'яті"": ""DDR4"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""2"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Кардрідер"": ""Card-reader"", ""Відеокарта"": ""Intel Iris Xe Graphics"", ""Веб-камера"": ""720p HD"", ""Аудіосистема"": ""Hi-Res Audio Ready"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""Wi-Fi 6E (802.11ax)Bluetooth 5.3"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""1 x USB 3.2 Gen 2 Type-CLAN (RJ-45)3 x USB 3.2 Gen 1HDMIКомбінований аудіороз'єм"", ""Операційна система"": ""DOS"", ""Ємність батареї"": ""3 cell"", ""Ємність акумулятора"": ""46.8 Втг"", ""Особливості"": ""зарядка від USBTPM модульпідсвічування клавіатури"", ""Ширина"": ""358.9 мм"", ""Висота"": ""19.9 мм"", ""Глибина"": ""235.9 мм"", ""Вага"": ""1.7 кг"", ""Колір"": ""сірий"", ""Виробник"": ""MSI"", ""Модель"": ""Modern 15 F13MG-673XRO"", ""Артикул"": ""9S7-15S12-167316"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""4711377358491"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 32659.0, ""full_name"": ""MSI Modern 15 F13MG-673XRO"", ""product_code"": ""U1132834"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_MSI_Modern_15_F13MG-673XRO_9S7-15S12-167316-p1306675.html""}",1161.0,Intel Core i5-1334U,notebook,7.53,2023.0,15.0,10.0,12.0,497.0,Intel Iris Xe Graphics G7,notebook,9.6,2020.0,,Gen. 11 Ice Lake
Vinga Iron S151,36999.0,U1098370,brain,https://brain.com.ua/ukr/Noutbuk_Vinga_Iron_S151_S151-133416512SWP-p1274545.html,Intel Core i5-1334U,Intel UHD Graphics 730 (Rocket Lake),"{""Серія (модельний ряд)"": ""Vinga Iron"", ""Тип ноутбуку"": ""для навчаннядля роботи"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""матова"", ""Частота оновлення екрану"": ""60 Гц"", ""Яскравість"": ""250nits"", ""Покоління процесора Intel"": ""13-е покоління"", ""Процесор"": ""Intel Core i5-1334U (1.3 - 4.6 ГГц)"", ""Кількість ядер процесора"": ""10"", ""Тип оперативної пам'яті"": ""DDR4"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Кардрідер"": ""Card-reader"", ""Відеокарта"": ""Intel UHD Graphics"", ""Веб-камера"": ""WEB-Camera 2 MP"", ""Додаткові можливості"": ""стереодинаміки, вбудований мікрофон"", ""Бездротові технології"": ""Bluetooth 5.2Wi-Fi 6 (802.11aх)"", ""Мережевий адаптер"": ""LAN (RJ-45)"", ""Інтерфейси та підключення"": ""1 х USB 2.0LAN (RJ-45)1 х USB 3.22 х USB Type-CHDMIКомбінований аудіороз'єм"", ""Операційна система"": ""Windows 11 Pro"", ""Ємність акумулятора"": ""65 Втг"", ""Заявлений час роботи (годин)"": ""10"", ""Особливості"": ""підсвічування клавіатуризарядка від USBсканер відбитків пальцівTPM модуль"", ""Додатково"": ""алюмінієвий корпус"", ""Ширина"": ""355.6 мм"", ""Висота"": ""16.9 мм"", ""Глибина"": ""228.4 мм"", ""Вага"": ""1.57 кг"", ""Колір"": ""сірий"", ""Виробник"": ""Vinga"", ""Модель"": ""Iron S151"", ""Артикул"": ""S151-133416512SWP"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""4823093319929"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 36999.0, ""full_name"": ""Vinga Iron S151"", ""product_code"": ""U1098370"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Vinga_Iron_S151_S151-133416512SWP-p1274545.html""}",1161.0,Intel Core i5-1334U,notebook,7.53,2023.0,15.0,10.0,12.0,435.0,Intel UHD Graphics 730 (Rocket Lake),notebook,12.53,2021.0,15.0,
Lenovo LOQ 15ARP9,44064.0,U1136775,brain,https://brain.com.ua/ukr/Noutbuk_Lenovo_LOQ_15ARP9_83JC0068PB-p1309111.html,AMD Ryzen 5 7235HS,NVIDIA GeForce RTX 3050 8 GB,"{""Серія (модельний ряд)"": ""Lenovo LOQ"", ""Тип ноутбуку"": ""ігровий"", ""Діагональ дисплея"": ""15.6\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Поверхня екрану"": ""антиблікове покриття"", ""Частота оновлення екрану"": ""144 Гц"", ""Яскравість"": ""300nits"", ""Покоління процесора AMD"": ""Zen 3+"", ""Процесор"": ""AMD Ryzen 5 7235HS ( 4.2 ГГц)"", ""Кількість ядер процесора"": ""4"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""2"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""512 ГБ"", ""Стандарт інтерфейсу SSD M.2"": ""PCI Express 4.0 x4"", ""Кількість слотів M.2"": ""2"", ""Відеокарта"": ""NVIDIA GeForce RTX 3050"", ""Об'єм відеопам'яті"": ""6 ГБ"", ""Веб-камера"": ""720p HD Privacy shutter"", ""Аудіосистема"": ""High Definition Audio"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""Bluetooth 5.2Wi-Fi 6 (802.11aх)"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""1 x USB 3.2 Gen 2 Type-C3 x USB 3.2 Gen 1HDMI 2.1LAN (RJ-45)Комбінований аудіороз'єм"", ""Операційна система"": ""без операційної системи"", ""Ємність акумулятора"": ""60 Втг"", ""Особливості"": ""українська клавіатурапідсвічування клавіатури"", ""Ширина"": ""359.86 мм"", ""Висота"": ""23.9 мм"", ""Глибина"": ""258.7 мм"", ""Вага"": ""2.38 кг"", ""Колір"": ""сірий"", ""Виробник"": ""Lenovo"", ""Модель"": ""LOQ 15ARP9"", ""Артикул"": ""83JC0068PB"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""198153860722"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 44064.0, ""full_name"": ""Lenovo LOQ 15ARP9"", ""product_code"": ""U1136775"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Lenovo_LOQ_15ARP9_83JC0068PB-p1309111.html""}",1211.0,AMD Ryzen 5 7235HS,notebook,7.09,2023.0,45.0,4.0,8.0,208.0,NVIDIA GeForce RTX 3050 8 GB,desktop,30.16,2022.0,130.0,Ampere
Thunderobot R16,77999.0,U1110724,brain,https://brain.com.ua/ukr/Noutbuk_Thunderobot_R16_R16-i7136HX56C1Q180RG-p1285889.html,Intel Core i7-13650HX,NVIDIA GeForce RTX 5060 Ti 16 GB,"{""Серія (модельний ряд)"": ""Thunderobot R"", ""Тип ноутбуку"": ""ігровий"", ""Діагональ дисплея"": ""16\"""", ""Роздільна здатність"": ""2560x1600 (WQXGA)"", ""Тип матриці"": ""IPS"", ""Частота оновлення екрану"": ""180 Гц"", ""Яскравість"": ""500nits"", ""Покоління процесора Intel"": ""13-е покоління"", ""Процесор"": ""Intel Core i7-13650HX (2.6 - 4.9 ГГц)"", ""Кількість ядер процесора"": ""14"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Кількість слотів для оперативної пам'яті"": ""2"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""1 ТБ"", ""Стандарт інтерфейсу SSD M.2"": ""PCI Express 4.0"", ""Кількість слотів M.2"": ""2"", ""Відеокарта"": ""NVIDIA GeForce RTX 5060"", ""Об'єм відеопам'яті"": ""8 ГБ"", ""Версія DLSS"": ""DLSS 4"", ""Веб-камера"": ""Full HD, 1080p"", ""Додаткові можливості"": ""вбудований мікрофон, стереодинаміки"", ""Бездротові технології"": ""Wi-Fi 6 (802.11aх)Bluetooth 5.2"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""HDMI 2.11 x USB 3.2 Gen 2 Type-CLAN (RJ-45)3 x USB 3.2 Gen 1Комбінований аудіороз'єм"", ""Операційна система"": ""DOS"", ""Ємність акумулятора"": ""63 Втг"", ""Особливості"": ""підсвічування клавіатури"", ""Ширина"": ""358 мм"", ""Висота"": ""31.5 мм"", ""Глибина"": ""266 мм"", ""Вага"": ""2.6 кг"", ""Колір"": ""сірий"", ""Виробник"": ""Thunderobot"", ""Модель"": ""R16"", ""Артикул"": ""R16-i7136HX56C1Q180RG"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""6932066318635"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 77999.0, ""full_name"": ""Thunderobot R16"", ""product_code"": ""U1110724"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Thunderobot_R16_R16-i7136HX56C1Q180RG-p1285889.html""}",443.0,Intel Core i7-13650HX,notebook,17.4,2023.0,55.0,14.0,20.0,55.0,NVIDIA GeForce RTX 5060 Ti 16 GB,desktop,54.28,2025.0,180.0,Blackwell 2.0
Vinga Scout X14A,89999.0,U1124577,brain,https://brain.com.ua/ukr/Noutbuk_Vinga_Scout_X14A_X14A-1235161024B-p1298560.html,Intel Core i5-1235U,Intel Iris Xe Graphics eligible,"{""Серія (модельний ряд)"": ""Vinga Scout"", ""Тип ноутбуку"": ""захищенийпортативний"", ""Діагональ дисплея"": ""14\"""", ""Роздільна здатність"": ""1920х1080 (FullHD)"", ""Тип матриці"": ""IPS"", ""Яскравість"": ""1000nits"", ""Покоління процесора Intel"": ""12-е покоління"", ""Процесор"": ""Intel Core i5-1235U (1.3 - 4.4 ГГц)"", ""Кількість ядер процесора"": ""10"", ""Тип оперативної пам'яті"": ""DDR5"", ""Об'єм оперативної пам'яті"": ""16 ГБ"", ""Тип накопичувача"": ""SSD"", ""Об'єм SSD"": ""1 ТБ"", ""Кардрідер"": ""Card-reader"", ""Відеокарта"": ""Intel Iris Xe Graphics eligible"", ""Веб-камера"": ""WEB-Camera 5 MP"", ""Бездротові технології"": ""4G LTEWi-Fi 6 (802.11aх)Bluetooth 5.1"", ""Мережевий адаптер"": ""Gigabit Ethernet"", ""Інтерфейси та підключення"": ""1 х USB 3.2RS-232LAN (RJ-45)USB Type-C1 x USB 3.01 х USB 2.0miniHDMIКомбінований аудіороз'єм"", ""Операційна система"": ""без операційної системи"", ""Ємність акумулятора"": ""56 + 56 Втг"", ""Особливості"": ""GPSсканер відбитків пальцівпідсвічування клавіатури"", ""Додатково"": ""MIL-STD-810H, захист IP65, + додаткова батарея"", ""Ширина"": ""363.2 мм"", ""Висота"": ""42.1 мм"", ""Глибина"": ""287.4 мм"", ""Вага"": ""2.97 кг"", ""Колір"": ""чорний"", ""Виробник"": ""Vinga"", ""Модель"": ""Scout X14A"", ""Артикул"": ""X14A-1235161024B"", ""Гарантія, міс"": ""12"", ""Штрихкод"": ""4823093321601"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""shop"": ""brain"", ""price"": 89999.0, ""full_name"": ""Vinga Scout X14A"", ""product_code"": ""U1124577"", ""product_url"": ""https://brain.com.ua/ukr/Noutbuk_Vinga_Scout_X14A_X14A-1235161024B-p1298560.html""}",1200.0,Intel Core i5-1235U,notebook,7.24,2022.0,15.0,10.0,12.0,,,,,,,
